1399503519,"And good evening. Iêm David Gregory. Welcome to the Maryland Gubernatorial Debate among the Democratic candidates, Lieutenant Government Anthony Brown, Delegate Heather Mizeur and Attorney General Doug Gansler by the University of Maryland, NBC-4 and Bowie State University."
1399503537,"This debate is also airing on WAG in Hagerstown, Maryland, Public-- Maryland Public Television and streaming live on NBCWashington.com. I wanna begin by quickly going over the rules of tonightês debate, their rules, the candidatesê debate. The debate will last one hour. Weêll begin with one-minute long opening statements from each candidate. The order has already been determined during a random drawing."
1399503560,"Then our panelists and I will pose questions directly to the candidate, these are questions determined by NBC News and-- and NBC-4. The panelists have not reviewed-- the questions, not has the University of Maryland. I am also in the role of time-- the role of time keeper here, Iêve got so many accouterments to help me measure the time, so Iêll be keeping everybody to time."
1399503582,"Each candidate is going to have one minute to respond. As moderator, Iêll also be allowed to follow up with questions or-- provide a 30-second rebuttal to the candidates as necessary. Finally, the debate will conclude with closing statements. A time keeper will be located in the front row of the audience, facing the candidates. The time keeper will notify candidates of their remaining time and when time has expired."
1399503607,"In the interest of trying to cover as much ground as possible, we ask the candidates to adhere to these time limits; politicians always keep to time, come on. (LAUGH) And-- we also as that the-- the audience listen quietly--no applause, please, over the course of this-- no shouting during the debate."
1399503624,"Now I wanna welcome our panelists tonight. Chris Lawrence, whoês a News 4 anchor. Heês spent the last decade covering some of the biggest national stories for CNN before joining the NBC family. Chris is an alumnus of the University of Maryland here at College Park, so a welcome home for him. Chris, welcome."
1399503641,Thank you.
1399503643,"Jenna Johnson writes about Maryland politics, including the General Assembly, and the 2014 election for The Washington Post. She has been with The Post since 2007. Finally, Chris Gordon, a lawyer; he has been a reporter in this area for almost three decades and for more than 15 years heês covered Maryland politics and legal issues across the state for NBC-4. And now, please welcome the Democratic candidates for governor."
1399503668,"The Attorney General of Maryland, Doug Gansler. Maryland State Delegate, Heather Mizeur and Lieutenant Governor, Anthony Brown. Attorney General Gansler, you will be first with your one-min-- one-minute, I should say, opening statement. (MIC NOISE) So the floor is yours."
1399503685,"Thank you, David. Thank you the University of Maryland, Bowie State and NBC for hosting us to date this evening. As your governor, I will continue to do what I have done for the past 22 years in public service, and thatês when I see something thatês unfair or wrong, I will fight relentlessly to solve the problem and get things done. Whether itês bringing the Beltway Snipers to justice, arguing in front of the Supreme Court of the United States to keep a child molester behind bars, suing big oil to clean up its spills or preventing big tobacco for marketing-- cigarettes to our children."
1399503718,"As your governor, I will give voice to the voiceless, making sure that every Marylander has access to healthcare; creating and strengthening the middle class by creating jobs; taking on the pollution lobbyists so we have clean air and a clean bay, and making sure that in every classroom, we have skilled teachers for every student everywhere in Maryland. You see, I grew up in this state and thereês so much good about this state, but from jobs to healthcare to the environment, we can do so much more. And thatês my (UNINTEL)."
1399503755,"And next up, thank you, now up, Delegate Mizeur, your one-minute opening statement."
1399503758,"Thank you, David. When I was nine years old, the factory where my father was a union welder went on strike for fair wages. And over the next six months, my family and I struggled to live on $45 a week strike pay. During that period of time, my father took me with him to the picket lines, where I got to see first-hand men and women standing up for what they believe in with incredible courage."
1399503783,"I have remembered this my entire time in Annapolis, standing up for Maryland families. Iêve expanded health insurance to 50,000 more children in our state, passed bipartisan legislation to give thousands of low-income women access to free family planning services. And just last month, decriminalized the possession of marijuana. But for all of our successes, there are still too many families who are falling behind in our state. As your governor, I will create jobs with a living wage, reduce that income inequality gap, invest in our schools and drive down violence in our neighbors with a Smart on Crime strategy. Together, we will deliver real results for Maryland families."
1399503825,"All right, thank you, Lieutenant Governor, please."
1399503829,"Thank you, David, and panelists, sponsors and audience. Good evening. Iêm a generation removed from poverty. My father was raised by his grandmother, my great-grandmother-- in a one-bedroom home on a dirt floor in Kingston, Jamaica, a poor neighborhood called Jonestown."
1399503846,"And when my father was a little bit older than my son Jonathan is today, he wrote a letter to his mother, my grandmother, already in this country, he said, –Mom, bring me to America, I wanna be a doctor, I wanna heal people.” She wasnêt a wealthy woman; a woman without an education, but knew the importance of an education. So she saved her money, brought me father, her son to this country, he was the first in our family to get a college education."
1399503870,"My father spent a lifetime as a family doctor, treating people and serving people, even those who couldnêt pay for his services. When I grew up, I knew I wanted to be just like my father. I didnêt go to medical school, but I had the privilege to serve our country in the Army, then in the House of Delegates, and for the last eight years as your Lieutenant Governor. Together, we will build a better Maryland for more Marylanders and I look forward to doing that with each and every one of you."
1399503896,"All right, thank you all very much. Letês talk about the issues, Iêm gonna start. Healthcare is something that-- Americans are concerned about across the board, especially with the Affordable Care Act. Iêm gonna ask-- this question to three of you in the order that it was designed, so Iêll start with you, Attorney General Gansler-- it is widely-- argued by you and others and believe that the roll out of the healthcare Exchange here was a disaster. Who ultimately is accountable for that? What is the impact of it and how would you fix it?"
1399503923,"Well, thank you, David. The-- Lieutenant Governor for a number of years has touted that he is in charge of the Affordable Care Act roll out; and in fact, right now, if you look on his website, it says that Maryland has led the country in the Affordable Care Act roll out."
1399503936,"The Washington Post, The Baltimore Sun, Senator Mikulski and many others have called it a national disaster. I think the Lieutenant Governor is the only person that believes itês been a success. Weêre actually 45th in the country in terms of people enrolled, so thatês relatively delusional. We (UNINTEL) $200 million of taxpayer money and (UNINTEL) on the web-- on the website was broken and flushed it down the toilet."
